Date,Source,Campaign,Spend,Clicks,Impressions,AdGroup,Ad
2023-07-12,Facebook Ads,10.07.23wide_com_DE,1.0,0,42,wide,b3com
2023-07-12,Facebook Ads,02.07.23wide_DE,2.1,6,193,wide,b2
2023-07-12,Facebook Ads,03.07.23women,0.1,0,14,women,b2
2023-09-13,Telegram posts,,95.0,245,10260,,
2023-07-12,Facebook Ads,07.07.23LAL_DE,2.28,2,205,LAL1,b2
2023-10-20,Telegram posts,,95.0,272,12296,,
2023-07-12,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v2
2023-07-12,Facebook Ads,04.07.23recentlymoved_DE,0.01,0,1,recentlymoved,b3
2023-07-12,Facebook Ads,10.07.23wide_com_DE,0.14,0,8,wide,b4com
2023-07-12,Facebook Ads,07.07.23LAL_DE,6.53,14,505,LAL1,b3
2023-08-16,Telegram posts,,94.25,64,1712,,
2023-08-21,Telegram posts,,94.25,206,11780,,
2023-07-12,Facebook Ads,02.07.23wide_DE,9.59,11,800,wide,b3
2023-07-12,Facebook Ads,04.07.23recentlymoved_DE,9.2,15,991,recentlymoved,b2
2023-07-12,Facebook Ads,05.07.23interests_DE,0.08,0,7,interest_programming,b2
2024-02-05,Telegram posts,,93.2,112,4434,,
2023-07-24,Telegram posts,,92.25,191,12950,,
2024-02-14,Telegram posts,,90.0,69,1461,,
2024-04-17,Telegram posts,,87.87,72,9056,,
2023-07-12,Facebook Ads,10.07.23wide_com_DE,6.82,11,515,wide,b2com
2023-07-12,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v1
2023-07-12,Facebook Ads,03.07.23women,8.52,11,666,women,b3
2023-07-13,Facebook Ads,03.07.23women,8.68,16,573,women,b3
2023-07-13,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v1
2023-11-16,Telegram posts,,87.55,68,5021,,
2023-07-13,Facebook Ads,10.07.23wide_com_DE,7.93,10,651,wide,b2com
2023-07-13,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v2
2023-07-13,Facebook Ads,10.07.23wide_com_DE,0.05,0,4,wide,b4com
2023-11-29,Bloggers,,85.0,15,1400,,
2023-07-13,Facebook Ads,07.07.23LAL_DE,2.52,3,178,LAL1,b2
2023-07-13,Facebook Ads,04.07.23recentlymoved_DE,0.02,0,4,recentlymoved,b3
2023-07-13,Facebook Ads,07.07.23LAL_DE,6.94,7,382,LAL1,b3
2023-07-13,Facebook Ads,10.07.23wide_com_DE,0.32,0,15,wide,b3com
2024-05-21,Telegram posts,,85.0,58,1043,,
2023-07-13,Facebook Ads,05.07.23interests_DE,0.19,0,20,interest_programming,b2
2023-11-14,Telegram posts,,84.25,161,5141,,
2024-02-08,Telegram posts,,83.2,89,2507,,
2023-07-13,Facebook Ads,03.07.23women,0.01,0,4,women,b2
2024-04-09,Bloggers,,82.0,18,10400,,
2023-07-13,Facebook Ads,05.07.23interests_DE,0.0,0,1,interest_programming,b1
2023-12-11,Telegram posts,,81.0,142,2672,,
2023-08-07,Bloggers,,80.0,3,5941,,
2023-07-13,Facebook Ads,04.07.23recentlymoved_DE,9.07,13,882,recentlymoved,b2
2023-07-13,Facebook Ads,02.07.23wide_DE,8.8,12,689,wide,b3
2023-07-13,Facebook Ads,02.07.23wide_DE,2.53,6,208,wide,b2
2023-08-09,Bloggers,,80.0,0,4101,,
2023-07-13,Facebook Ads,05.07.23interests_DE,0.0,0,1,interest_work,b2
2023-11-09,Bloggers,,80.0,5,546,,
2023-07-13,Facebook Ads,05.07.23interests_DE,8.16,13,658,interest_programming,b3
2023-07-13,Facebook Ads,10.07.23wide_com_DE,0.13,0,10,wide,b1com
2023-07-13,Google Ads,performancemax_eng_DE,48.12,592,23636,,
2023-07-14,Facebook Ads,10.07.23wide_com_DE,0.06,0,8,wide,b3com
2023-12-21,Bloggers,,80.0,112,942,,
2023-07-14,Facebook Ads,05.07.23interests_DE,8.46,13,768,interest_programming,b3
2024-02-19,SMM,,80.0,60,0,,
2023-07-14,Facebook Ads,07.07.23LAL_DE,4.3,4,338,LAL1,b2
2024-03-31,Telegram posts,,80.0,16,556,,
2023-07-14,Facebook Ads,04.07.23recentlymoved_DE,0.02,0,2,recentlymoved,b3
2024-04-25,SMM,,80.0,39,0,,
2023-07-14,Facebook Ads,10.07.23wide_com_DE,0.0,0,1,wide,b1com
2024-05-15,Telegram posts,,80.0,82,3102,,
2023-07-14,Facebook Ads,03.07.23women,8.81,15,686,women,b3
2023-07-19,Telegram posts,,79.25,95,6228,,
2023-07-14,Facebook Ads,03.07.23women,0.0,0,1,women,b2
2023-07-14,Google Ads,performancemax_eng_DE,77.5,709,44133,,
2023-07-14,Facebook Ads,05.07.23interests_DE,0.04,0,2,interest_programming,b1
2023-09-20,Telegram posts,,78.0,60,2171,,
2023-07-14,Tiktok Ads,12.07.2023wide_DE,9.86,17,1936,wide,v6com
2023-07-14,Facebook Ads,04.07.23recentlymoved_DE,8.86,12,852,recentlymoved,b2
2023-07-14,Facebook Ads,10.07.23wide_com_DE,0.04,0,5,wide,b4com
2023-07-14,Facebook Ads,10.07.23wide_com_DE,9.0,12,691,wide,b2com
2023-07-14,Facebook Ads,02.07.23wide_DE,7.32,12,422,wide,b3
2023-11-21,Telegram posts,,76.7,15,4860,,
2023-07-14,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v2
2023-08-09,Telegram posts,,75.0,112,2184,,
2024-04-12,Bloggers,,75.0,142,5196,,
2023-07-14,Facebook Ads,02.07.23wide_DE,3.84,3,356,wide,b2
2023-07-14,Tiktok Ads,12.07.2023wide_DE,3.57,5,971,wide,v5
2023-07-14,Facebook Ads,07.07.23LAL_DE,4.51,6,341,LAL1,b3
2023-07-14,Tiktok Ads,12.07.2023wide_DE,0.98,0,150,wide,v4com
2023-07-14,Facebook Ads,05.07.23interests_DE,0.11,0,15,interest_programming,b2
2023-07-14,Tiktok Ads,12.07.2023wide_DE,1.33,2,263,wide,v3com
2023-07-15,Facebook Ads,04.07.23recentlymoved_DE,8.38,13,802,recentlymoved,b2
2023-07-15,Tiktok Ads,12.07.2023wide_DE,1.6,1,263,wide,v5
2023-07-15,Facebook Ads,07.07.23LAL_DE,6.43,10,522,LAL1,b3
2023-07-15,Facebook Ads,10.07.23wide_com_DE,8.57,11,731,wide,b2com
2023-07-15,Tiktok Ads,12.07.2023wide_DE,14.47,30,3043,wide,v6com
2023-07-21,Telegram posts,,74.25,112,3885,,
2023-07-15,Facebook Ads,05.07.23interests_DE,0.02,0,1,interest_programming,b4
2023-10-04,Telegram posts,,74.25,82,1061,,
2023-07-15,Facebook Ads,04.07.23recentlymoved_DE,0.1,1,7,recentlymoved,b3
2023-07-15,Facebook Ads,10.07.23wide_com_DE,0.02,1,2,wide,b1com
2023-07-15,Facebook Ads,10.07.23wide_com_DE,0.14,0,6,wide,b3com
2024-06-21,Telegram posts,,74.25,0,0,,
2023-07-15,Facebook Ads,03.07.23women,8.18,18,605,women,b3
2024-06-18,Telegram posts,,70.5,70,8015,,
2023-07-15,Facebook Ads,10.07.23wide_com_DE,0.0,0,1,wide,b4com
2023-07-15,Facebook Ads,05.07.23interests_DE,8.12,13,814,interest_programming,b3
2023-07-15,Google Ads,performancemax_eng_DE,78.87,588,46099,,
2023-12-04,Telegram posts,,70.0,81,1488,,
2024-06-19,Bloggers,,70.0,8,1144,,
2024-03-10,Telegram posts,,69.0,34,1557,,
2024-03-11,Telegram posts,,68.0,62,2633,,
2023-07-15,Facebook Ads,05.07.23interests_DE,0.0,0,1,interest_programming,b2
2023-07-15,Facebook Ads,02.07.23wide_DE,3.07,6,242,wide,b2
2023-07-15,Facebook Ads,07.07.23LAL_DE,2.35,6,256,LAL1,b2
2023-07-15,Tiktok Ads,12.07.2023wide_DE,3.66,8,710,wide,v3com
2023-07-15,Facebook Ads,03.07.23women,0.24,1,31,women,b2
2023-12-08,Bloggers,,65.0,162,3027,,
2023-07-15,Facebook Ads,02.07.23wide_DE,7.99,12,595,wide,b3
2023-07-15,Facebook Ads,05.07.23interests_DE,0.05,0,3,interest_programming,b1
